contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expirationDate,optionType
SPY251128P00593000,2025-05-28 16:33:26+00:00,593.0,27.18,27.88,28.06,0.35000038,1.3045113,11.0,16.0,0.15169610519409182,True,REGULAR,USD,2025-11-28,put
SPY251128P00594000,2025-05-27 18:56:22+00:00,594.0,27.13,28.26,28.44,0.0,0.0,,15.0,0.15062800064086918,True,REGULAR,USD,2025-11-28,put
SPY251128P00595000,2025-05-27 17:00:06+00:00,595.0,27.77,28.65,28.82,0.0,0.0,,21.0,0.1495293788146973,True,REGULAR,USD,2025-11-28,put
SPY251128P00596000,2025-05-28 16:29:34+00:00,596.0,28.26,29.04,29.22,0.30999947,1.1091214,25.0,27.0,0.14850705017089844,True,REGULAR,USD,2025-11-28,put
SPY251128P00597000,2025-05-28 16:33:27+00:00,597.0,28.69,29.44,29.62,-0.09000015,-0.31271768,4.0,25.0,0.1474389456176758,True,REGULAR,USD,2025-11-28,put
SPY251128P00598000,2025-05-28 16:30:38+00:00,598.0,29.02,29.84,30.02,0.25,0.86896074,67.0,76.0,0.1463326944732666,True,REGULAR,USD,2025-11-28,put
SPY251128P00599000,2025-05-28 16:30:21+00:00,599.0,29.42,30.25,30.43,-0.8199997,-2.7116392,11.0,77.0,0.14524170196533204,True,REGULAR,USD,2025-11-28,put
SPY251128P00600000,2025-05-27 19:10:17+00:00,600.0,29.52,30.67,30.85,0.0,0.0,,8.0,0.14417359741210936,True,REGULAR,USD,2025-11-28,put
SPY251128P00640000,2025-05-28 14:05:01+00:00,640.0,52.18,53.06,56.31,0.0,0.0,5.0,0.0,0.11727262130737304,True,REGULAR,USD,2025-11-28,put
SPY251219C00530000,2025-05-28 17:33:00+00:00,530.0,82.32,79.89,81.87,-0.66000366,-0.7953768,1.0,1223.0,0.2851328811645507,True,REGULAR,USD,2025-12-19,call
SPY251219C00535000,2025-05-28 15:05:42+00:00,535.0,78.84,75.82,77.74,-0.62000275,-0.7802703,1.0,1010.0,0.27893787475585935,True,REGULAR,USD,2025-12-19,call
